Food Items,Energy kcal,Carbs,Protein(g),Fat(g),Freesugar(g),Fibre(g),Cholestrol(mg),Calcium(mg),Nutrition_Score,Nutrition_Label,Protein_to_Energy,Sugar_to_Carbs,Fat_to_Energy
Carrot and fenugreek leaves (Gajar methi),61.92,4.17,2.1,3.81,2.11,4.43,0.0,128.83,-4,Healthy,0.033914728681622826,0.5059952037155887,0.06153100775094427
Potato fenugreek (Aloo methi),135.15,8.47,2.25,10.04,0.54,2.93,0.0,107.8,0,Healthy,0.01664816870131966,0.06375442738326394,0.07428782833833306
Brinjal bhartha (Baingan ka bhartha),65.12,4.4,1.38,4.48,1.82,3.27,0.0,17.85,-2,Healthy,0.021191646191320763,0.41363636354235533,0.06879606879501235
Dry potato (Sookhe aloo),103.15,14.38,1.62,4.18,0.33,1.88,0.0,17.2,0,Healthy,0.015705283567467712,0.022948539636790784,0.04052350945186113
Beans with coconut (Nariyal aur sem/phali; Beans thoran),131.63,4.39,2.62,11.39,2.06,5.59,0.0,51.92,-2,Healthy,0.019904277140318286,0.46924829146486374,0.08653042619397912
Cauliflower with coconut (Nariyal ke saath phoolgobhi),132.11,3.99,2.64,11.56,1.71,5.27,0.0,35.37,-2,Healthy,0.019983347210506524,0.42857142846401713,0.08750283854297553
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),106.61,4.99,1.82,8.62,2.36,4.52,0.0,48.63,-2,Healthy,0.01707156927101518,0.47294589168878837,0.08085545445942353
Raw turnip with coconut ,132.15,5.78,1.8,11.47,4.4,2.79,0.0,50.65,1,Healthy,0.01362088535744517,0.761245674608781,0.0867953083610534
Raw papaya with coconut (Papaya thoran),132.75,5.58,1.54,11.42,3.82,4.31,0.0,33.74,0,Healthy,0.011600753295581164,0.6845878134973856,0.08602636534775122
Stuffed okra (Bharwa bhindi),94.34,3.85,2.08,7.66,0.48,4.15,0.0,86.89,-2,Healthy,0.022047911808119058,0.12467532464294147,0.08119567521643846
Stuffed round gourd (Bharwa tinde),72.8,4.02,1.1,5.75,1.96,2.1,0.0,20.21,-1,Healthy,0.015109890109682557,0.4875621889334423,0.07898351648243154
Stuffed capsicum (Bharwa shimla mirch),90.94,8.26,1.34,5.7,1.21,2.01,0.0,15.17,0,Healthy,0.014734990103202826,0.146489104098488,0.06267868924496725
Stuffed brinjal (Bharwa baingan),93.0,3.96,1.53,7.73,0.92,4.09,0.0,24.37,-1,Healthy,0.016451612903048907,0.23232323226456486,0.08311827956899873
Stuffed tomatoes (Bharwa tamatar),93.35,6.19,3.28,6.06,2.68,2.2,0.0,59.16,-1,Healthy,0.03513658275270341,0.43295638119015245,0.06491697911017764
Pea potato curry (Aloo matar),100.92,9.74,3.48,5.13,1.86,3.61,0.0,21.1,-3,Healthy,0.03448275862034797,0.1909650923828578,0.05083234244896123
Pea paneer curry (Matar paneer),134.83,9.29,6.61,7.75,3.89,3.3,0.0,105.2,-4,Healthy,0.04902469776719555,0.41872981696246186,0.057479789363958464
Pea mushroom curry (Matar mushroom),93.3,7.41,3.87,5.16,1.82,3.86,0.0,22.7,-4,Healthy,0.04147909967801201,0.245614035054573,0.05530546623734935
Pea curry (Matar ki sabzi),102.99,9.2,4.51,5.11,1.98,4.44,0.0,24.48,-4,Healthy,0.043790659286884255,0.21521739128095466,0.049616467617733605
Pea vadi curry,101.95,8.9,4.64,5.08,1.92,4.28,0.0,23.62,-4,Healthy,0.04551250613000968,0.2157303370544123,0.04982834722854509
Paneer curry,176.52,8.4,7.8,12.38,6.29,1.4,0.0,189.06,2,Healthy,0.044187627464059666,0.7488095237203798,0.07013369589808445
Lotus stem curry (Kamal kakdi curry),110.34,9.24,1.53,7.25,2.09,3.14,0.0,26.59,0,Healthy,0.013866231647508916,0.2261904761659967,0.06570599963688865
Gravy for kofta,125.59,6.31,1.75,10.35,3.73,1.96,1.18,39.65,1,Healthy,0.013934230432248314,0.5911251980045761,0.08241101998501145
Pea kofta curry (Matar kofta curry),595.66,4.17,2.01,63.39,0.88,1.7,0.21,13.84,16,Unhealthy,0.003374408219448386,0.21103117500934504,0.1064197696670812
Spinach kofta curry (Palak kofta curry),571.78,3.56,1.09,61.49,0.82,0.92,0.2,29.31,16,Unhealthy,0.0019063276085174259,0.23033707858698393,0.1075413620621436
Paneer kofta curry,670.91,3.27,2.39,72.06,1.98,0.4,0.24,59.49,18,Unhealthy,0.0035623257963011998,0.6055045869707937,0.1074063585278094
Lotus stem kofta curry (Kamal kakdi kofta curry),633.56,5.01,0.96,67.76,0.88,1.01,0.23,19.31,16,Unhealthy,0.0015152471746929807,0.17564870255975076,0.10695119641374623
Raw banana kofta curry (Kela kofta curry),627.27,3.4,0.62,67.98,2.3,0.59,0.23,9.23,17,Unhealthy,0.0009884100945350672,0.6764705880363321,0.10837438423628044
Cauliflower kofta curry (Phoolgobhi kofta curry),641.1,2.62,1.04,69.62,0.83,1.0,0.23,12.26,17,Unhealthy,0.001622211823425952,0.31679389300885724,0.1085946030258796
Cabbage kofta curry (Pattagobhi kofta curry),639.81,2.87,0.98,69.4,0.89,0.9,0.23,15.46,17,Unhealthy,0.0015317047248377931,0.31010452950867434,0.10846970194259474
Ghiya/Lauki Kofta Curry,638.71,2.71,0.89,69.4,0.82,0.83,0.23,11.64,17,Unhealthy,0.0013934336396777983,0.302583025718604,0.1086565107793699
Spinach paneer kofta curry (Palak paneer kofta curry),606.03,2.94,1.43,65.41,1.16,0.75,0.22,37.71,17,Unhealthy,0.002359619160763725,0.3945578229950483,0.10793195056332536
Vegetarian egg kofta curry,627.41,4.26,1.33,67.24,1.19,0.64,0.22,28.39,17,Unhealthy,0.002119825951129055,0.27934272293912144,0.10717074958941175
Baked vegetables,88.99,8.44,3.67,4.44,2.56,2.34,8.27,80.2,-2,Healthy,0.041240588829742214,0.30331753550908563,0.04989324643162273
Cauliflower musallam (Phoolgobhi musallam),58.83,4.48,1.89,3.55,1.71,3.06,0.0,24.61,-3,Healthy,0.032126466088184154,0.3816964284862284,0.06034336222912896
Baked vegetables with spinach ,77.79,6.93,3.22,4.03,2.09,2.33,6.55,78.63,-3,Healthy,0.041393495307348066,0.3015873015437825,0.05180614474801637
Baked potato with skin ,135.77,11.11,3.43,8.5,1.66,1.2,21.72,90.06,0,Healthy,0.02526331295554789,0.14941494148070072,0.0626058775866347
Shepherd's pie (vegetarian),135.63,12.03,5.04,7.3,2.78,2.23,10.62,85.59,-2,Healthy,0.03715992037132523,0.23108894428669252,0.053822900537832175
Baked brinjal in tomato sauce,38.63,4.13,1.58,1.62,2.2,2.34,0.0,26.24,-2,Healthy,0.040900854257289655,0.5326876512027391,0.04193631892203116
Dum aloo,682.33,3.33,0.7,74.01,0.71,0.68,0.49,16.49,18,Unhealthy,0.0010258965603138863,0.2132132131491852,0.10846657775547247
Spinach paneer (Palak paneer),77.68,4.43,4.03,4.76,2.55,1.91,0.0,113.25,-3,Healthy,0.05187950566359578,0.5756207673644197,0.061277033984793026
Methi chaman,475.62,2.78,1.54,50.91,1.79,0.53,0.0,60.57,15,Unhealthy,0.0032378789790100545,0.6438848918547178,0.1070392330009103
Sarson ka saag,87.84,5.33,3.0,5.86,0.75,3.69,13.24,134.41,-2,Healthy,0.034153005464092064,0.14071294556459418,0.0667122040065265
Jackfruit sabzi (Kathal ki sabzi),625.4,3.4,0.69,67.6,2.59,1.02,0.0,9.85,16,Unhealthy,0.001103293891907414,0.7617647056583045,0.1080908218738278
Avial,124.56,8.47,2.46,8.94,3.83,5.44,0.0,31.9,-3,Healthy,0.019749518304273045,0.4521841794035201,0.07177263969113862
Al yakhani,147.54,4.65,2.86,13.14,3.56,1.27,4.74,103.88,3,Moderate,0.01938457367480423,0.765591397684819,0.08906059373668795
Shahi paneer,156.5,6.64,5.06,12.34,5.01,1.4,23.7,125.38,2,Healthy,0.03233226837040043,0.7545180721755244,0.07884984025508722
Paneer in butter sauce,145.61,9.7,6.99,8.81,7.49,1.5,9.9,170.59,-1,Healthy,0.048004944715005805,0.7721649483740037,0.06050408625739644
Methi malai paneer,194.98,8.15,7.34,14.76,6.0,1.47,7.11,183.96,2,Healthy,0.037644886654848476,0.736196318928074,0.07570007180184789
Chilli paneer,777.51,3.31,2.1,84.01,1.5,0.5,0.34,42.9,19,Unhealthy,0.0027009298915734834,0.4531722053011564,0.1080500572338516
Paneer makhana korma,775.82,4.63,3.24,82.76,1.84,0.21,1.58,72.89,19,Unhealthy,0.004176226444272929,0.39740820725757925,0.10667422855803321
Kadhai Paneer,107.99,7.34,4.33,6.81,5.54,2.07,0.0,91.53,0,Healthy,0.0400963052130744,0.7547683922677427,0.06306139457298766
Roghan josh,139.59,4.93,9.56,9.02,2.66,2.08,1.4,112.33,-3,Healthy,0.06848628125174808,0.5395537524260541,0.06461780929819745
Spinach mutton (Palak mutton),80.32,3.45,5.74,4.71,1.42,2.23,0.68,96.88,-3,Healthy,0.07146414342540508,0.411594202779248,0.058640438246281866
Pea keema curry (Matar keema ki sabzi),133.0,6.24,8.43,8.14,1.82,2.96,22.87,35.6,-5,Healthy,0.06338345864613998,0.2916666666199252,0.06120300751833683
Keema kofta curry,154.45,5.64,9.77,10.39,2.14,1.51,57.79,49.89,-2,Healthy,0.0632567173838572,0.37943262404619993,0.06727096147577036
Kashmiri mutton koftas (Gushtaba),97.42,3.04,6.33,6.77,2.13,0.62,25.31,52.53,0,Healthy,0.0649763908841616,0.7006578945063625,0.06949291726473524
Mutton yakhni,104.13,0.84,8.27,7.7,0.13,0.67,0.0,88.61,-2,Healthy,0.07941995582368751,0.15476190457766442,0.07394602900149864
Chicken yakhni,99.0,0.78,10.66,6.1,0.12,0.62,29.29,28.24,-2,Healthy,0.10767676767568003,0.15384615364891518,0.061616161615539226
Mutton do piaza,183.3,4.14,9.39,14.41,2.9,1.93,77.86,118.61,-1,Healthy,0.0512274959080675,0.7004830916182408,0.07861429350748164
Mutton chops,663.64,1.48,4.03,71.31,0.42,0.17,13.32,36.18,18,Unhealthy,0.0060725694653636425,0.283783783592038,0.10745283587471001
Shammi kebab,685.69,3.54,4.52,72.61,0.31,1.05,24.6,13.11,17,Unhealthy,0.006591900129786649,0.08757062144418909,0.10589333372208155
Scotch egg,676.89,1.91,4.05,72.62,0.3,0.36,48.59,15.03,18,Unhealthy,0.005983246908646924,0.15706806274499055,0.10728478777924437
Shepherd's pie (with minced meat),142.78,8.06,7.45,8.88,1.7,1.05,33.31,21.3,-2,Healthy,0.05217817621479075,0.21091811411775208,0.06219358453521367
Chicken curry,129.22,3.38,11.79,7.57,1.79,1.41,31.25,27.29,-3,Healthy,0.09123974616861756,0.5295857986598859,0.05858226280716158
Tandoori chicken,145.2,2.34,16.26,7.93,1.58,0.5,44.25,44.33,-2,Healthy,0.11198347107360895,0.6752136749251224,0.054614325068494396
Butter chicken,137.0,3.74,10.92,8.7,2.37,1.32,39.26,25.28,-3,Healthy,0.07970802919649848,0.6336898394027567,0.06350364963457296
Chicken kebab,729.41,1.11,3.71,78.89,0.24,0.21,9.94,3.46,19,Unhealthy,0.005086302628144547,0.2162162160214268,0.10815590682865857
Chilli chicken,198.83,2.86,9.57,16.56,0.93,0.99,23.87,12.97,1,Healthy,0.04813156968240139,0.3251748250611277,0.08328723029681995
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),125.03,2.51,11.48,7.61,1.16,1.13,31.09,16.09,-3,Healthy,0.09181796368798034,0.4621513942381867,0.06086539230535979
Fish curry (Machli curry),111.13,3.77,8.76,6.69,2.02,1.89,19.22,52.06,-3,Healthy,0.07882659947737941,0.5358090184255149,0.060199766039231536
Fried fish (Indian style) (Tali hui machli),658.54,5.4,4.35,68.88,0.4,0.61,6.57,11.11,18,Unhealthy,0.006605521304694315,0.07407407406035665,0.10459501321088378
Fried fish and Chips (English Style) (Tali hui machli aur chips),651.75,2.77,3.36,69.69,0.17,0.29,12.51,6.56,18,Unhealthy,0.0051553509781278786,0.06137184113307876,0.1069275028767059
Tomato fish,489.79,3.18,2.39,51.91,1.35,0.72,5.17,6.46,16,Unhealthy,0.004879642295667777,0.424528301753293,0.10598419730883442
Baked fish with cheese sauce,113.96,4.06,8.64,7.02,3.22,0.08,21.37,115.64,-2,Healthy,0.07581607581541054,0.7931034480805165,0.06160056160002105
Fish tikka,117.33,3.91,16.0,4.15,1.18,1.18,32.73,31.98,-4,Healthy,0.13636751043947526,0.30179028125273905,0.035370323020238896
Tandoori fish,95.98,2.37,11.19,4.64,1.6,0.58,23.41,37.27,-3,Healthy,0.11658678891314245,0.6751054849472129,0.04834340487551215
"Paneer, apple and pineapple salad",95.08,8.35,3.88,5.07,6.36,1.65,6.52,103.05,0,Healthy,0.04080774084938149,0.7616766466153682,0.05332351703772272
Russian salad,114.83,6.5,4.26,7.84,1.66,2.57,64.49,34.92,-1,Healthy,0.03709831925422713,0.2553846153453254,0.06827484106881238
Pasta salad,190.36,12.7,4.15,13.92,2.6,0.96,12.7,66.74,3,Moderate,0.021800798486962595,0.20472440943269887,0.07312460600928175
Deviled egg,98.56,2.23,4.97,7.72,0.82,1.15,118.13,36.84,-1,Healthy,0.05042613636312473,0.3677130043194112,0.07832792207712735
Hawain salad,175.23,14.35,4.27,11.37,5.24,3.93,4.24,61.03,0,Healthy,0.02436797352037683,0.36515679439964066,0.06488614963154206
Mixed pulse and vegetable salad,83.12,13.96,4.74,0.84,1.36,2.96,0.0,51.63,-4,Healthy,0.057025986524819224,0.09742120343141682,0.010105871029714797
Sprouted moong salad ,37.81,5.48,2.29,0.74,2.13,0.95,1.62,54.56,-2,Healthy,0.060565987832304526,0.38868613131593316,0.01957154191960932
Tossed salad,62.96,4.95,1.02,4.22,1.56,2.15,0.0,32.37,-1,Healthy,0.01620076238856098,0.31515151508784817,0.06702668360757581
Mixed vegetable salad with curd sauce,60.28,7.03,4.23,1.5,2.16,3.79,4.09,65.51,-6,Healthy,0.07017252820056118,0.3072546230003905,0.02488387524842595
Potato salad (Aloo ka salaad),89.91,11.19,1.4,4.4,3.94,1.32,0.0,25.61,1,Healthy,0.015571126682064607,0.3521000893340393,0.0489378267150602
Waldroff salad,141.75,11.02,1.47,10.05,8.23,1.87,9.87,29.29,4,Moderate,0.010370370370297212,0.7468239563750614,0.07089947089897074
Coleslaw,76.71,5.59,1.24,5.32,3.62,2.34,6.42,37.0,-1,Healthy,0.01616477643050235,0.6475849730505215,0.06935210533086493
Fruit salad (Phalon ka salaad),78.14,15.96,0.91,1.22,9.78,1.58,2.71,25.93,1,Healthy,0.011645764013160408,0.6127819548488231,0.015613002303357907
Tomato onion raita (Tamatar aur pyaaz ka raita),59.0,7.08,3.74,1.84,5.98,0.97,6.19,120.62,-2,Healthy,0.06338983050740019,0.8446327682422835,0.031186440677437522
Peanut raita (Mungfali ka raita),150.39,9.3,8.59,8.98,7.11,1.89,8.97,174.6,-2,Healthy,0.05711815945171144,0.7645161289500519,0.0597114169821151
Sprouted moong raita ,60.89,6.13,4.62,2.19,5.59,0.16,7.21,139.44,-1,Healthy,0.07587452783583717,0.911908645854501,0.035966496961143596
Bottle gourd raita (Ghiya/Lauki ka raita),56.31,5.76,3.98,2.07,5.25,0.85,7.21,138.26,-1,Healthy,0.07068016338002699,0.9114583331750941,0.03676078849162208
Cucumber raita (Kheere ka raita),59.13,6.35,4.04,2.08,5.22,0.86,7.21,138.58,-1,Healthy,0.06832403179319595,0.8220472439650319,0.03517672924006128
Carrot and spinach raita (Gajar aur palak ka raita),56.83,5.83,4.0,1.99,4.93,1.39,6.19,142.57,-2,Healthy,0.07038535984391368,0.8456260718961189,0.03501671652234706
Mint raita (Pudinay ka raita),77.59,7.65,5.64,2.96,7.48,0.34,10.51,198.22,-2,Healthy,0.07268977960983773,0.9777777776499637,0.03814924603636874
Potato raita (Aloo ka raita),75.38,10.24,4.22,2.04,5.08,0.75,6.98,132.31,-1,Healthy,0.055983019367790085,0.49609374995155336,0.02706288140054308
Boondi raita,687.72,3.96,2.19,73.83,1.88,0.46,2.51,49.0,18,Unhealthy,0.0031844355260815674,0.474747474627589,0.107354737392969
Sweet raita (Meetha raita),99.24,17.93,3.24,1.78,15.36,1.02,5.73,108.91,1,Healthy,0.032648125755414675,0.8566648075372747,0.017936316001431515
Dahi vadas/Dahi bhalla,667.73,5.49,2.96,70.4,1.78,0.97,2.39,49.03,17,Unhealthy,0.004432929477476775,0.32422586515041424,0.10543183622106925
Gunjia,667.34,5.68,2.98,70.28,2.05,1.13,2.36,48.16,17,Unhealthy,0.00446548985523951,0.360915492894205,0.10531363323027945
Saunth/Sonth chutney with tamarind/imli,141.53,33.55,1.01,0.15,31.31,0.93,0.0,54.74,6,Moderate,0.007136296191569729,0.9332339791078024,0.0010598459690450092
Rice kheer (Chawal ki kheer),75.03,10.05,2.3,2.97,8.02,0.17,0.0,75.57,0,Healthy,0.030654404904296217,0.7980099501693522,0.039584166332939034
Makhana kheer,107.85,12.88,3.31,5.0,11.54,0.11,1.77,111.64,2,Healthy,0.030690774223173938,0.8959627328496922,0.04636068613772498
Vermicelli kheer (Semiya/Seviyan ki kheer),120.07,15.87,3.35,5.0,12.79,0.5,2.12,104.8,2,Healthy,0.027900391438095275,0.805923125343042,0.04164237528073922
Semolina kheer (Suji/Rava kheer),113.21,15.88,3.43,4.2,12.88,0.51,0.0,105.99,2,Healthy,0.030297676883399897,0.811083123374617,0.03709919618375498
Paneer kheer,105.31,10.03,4.53,5.37,9.87,0.07,0.0,144.66,2,Healthy,0.0430158579428068,0.9840478563325974,0.050992308422267665
Cabbage kheer (Pattagobhi ki kheer),83.51,9.73,2.87,3.8,9.28,0.51,0.0,102.74,3,Moderate,0.03436714165926994,0.9537512845885147,0.04550353251053162
Carrot kheer (Gajar ki kheer),85.35,10.09,2.81,3.85,9.63,0.73,0.0,100.12,3,Moderate,0.032923257175947004,0.9544103071402964,0.04510837726953593
Cauliflower kheer (Phoolgobhi ki kheer),81.95,8.78,3.04,3.95,8.49,0.55,0.0,101.75,2,Healthy,0.03709579011547168,0.9669703871336025,0.04820012202503721
Moong dal kheer,77.16,9.89,2.95,2.97,7.92,0.4,0.0,75.66,0,Healthy,0.038232244685870505,0.8008088977956714,0.03849144634475776
Phirni,116.12,16.11,3.49,4.34,10.79,0.36,0.0,104.57,2,Healthy,0.03005511539760545,0.6697703289466312,0.03737512917639187
Semolina halwa (Suji ka halwa),225.65,24.67,2.16,13.38,13.98,1.86,30.82,11.77,7,Moderate,0.009572346554355984,0.566680178331306,0.059295368933927346
Shahi suji halwa,382.34,44.44,3.48,21.73,27.21,2.96,50.05,18.64,14,Unhealthy,0.009101846524012393,0.6122862286090845,0.05683423131229578
Carrot halwa (Gajar ka halwa),172.64,18.53,3.11,9.73,16.85,2.65,14.66,106.94,5,Moderate,0.018014365152815025,0.909336211499766,0.056360055606717106
Egg halwa (Ande ka halwa),299.74,39.59,7.85,13.41,37.85,0.49,204.93,35.77,15,Unhealthy,0.02618936411547945,0.9560495074272279,0.044738773603640695
Potato halwa (Aloo ka halwa),151.66,29.18,1.53,3.48,17.42,1.64,6.23,14.15,4,Moderate,0.010088355532044783,0.5969842357574715,0.02294606356308225
Pumpkin halwa (Kaddu ka halwa),190.27,27.6,1.33,8.81,26.64,2.97,9.52,24.34,6,Moderate,0.006990066747217165,0.9652173912693761,0.046302622588709194
Moong dal halwa,349.8,40.23,8.35,17.68,25.59,2.65,34.81,110.4,12,Unhealthy,0.023870783304677328,0.6360924682914221,0.05054316752415511
Caramel custard (steamed),121.58,15.02,4.97,4.87,14.98,0.0,78.88,88.12,2,Healthy,0.04087843395261656,0.9973368840880602,0.04005593025135667
Baked custard,106.53,9.45,5.41,5.3,9.42,0.0,85.92,95.32,1,Healthy,0.05078381676475374,0.9968253967199127,0.04975124378062751
Soft Custard (stirred),109.18,11.19,5.01,5.07,11.15,0.0,73.35,95.82,1,Healthy,0.04588752518734303,0.9964253797143499,0.04643707638719145
Chocolate ice cream,177.7,15.41,4.47,11.25,15.33,0.0,68.26,84.24,6,Moderate,0.02515475520526081,0.9948085658017646,0.06330894766424701
Mango ice cream,125.69,11.14,3.4,7.62,11.01,0.52,55.21,67.17,3,Moderate,0.02705068024483212,0.9883303410243868,0.06062534807812375
Fruit Ice cream (Phalon ka Ice cream),171.46,16.05,4.37,10.38,14.03,0.33,17.12,93.35,6,Moderate,0.02548699405094199,0.8741433021262215,0.06053890120109333
Caramel ice cream,173.52,14.81,4.31,11.15,14.52,0.08,54.79,87.32,6,Moderate,0.02483863531567059,0.9804186359905186,0.06425772245237288
Lemon souffle,168.51,13.43,6.95,10.02,11.67,0.0,100.42,59.81,3,Moderate,0.04124384309512051,0.8689501116255436,0.05946234644792914
Orange souffle,168.28,14.2,6.8,9.73,12.31,0.22,97.54,59.04,3,Moderate,0.04040884240527449,0.8669014083896549,0.05782029950048836
Vanilla souffle,187.85,14.78,7.71,11.19,12.86,0.0,109.43,70.6,3,Moderate,0.0410433856798454,0.8700947225392358,0.05956880489720751
Chocolate souffle,189.32,14.74,7.88,11.36,12.69,0.0,108.18,71.55,3,Moderate,0.04162264948213806,0.8609226593717149,0.0600042256493767
Pineapple souffle ,196.14,15.52,8.06,11.72,13.45,0.0,117.82,67.23,2,Healthy,0.04109309676740547,0.866623711284367,0.05975323748312557
Apple mousse,106.92,12.77,4.21,4.27,10.56,1.6,57.67,33.76,1,Healthy,0.03937523381930999,0.8269381361920958,0.03993640104713864
Rich chocolate mousse,188.26,10.84,7.96,12.19,10.3,0.0,111.71,54.59,4,Moderate,0.04228195049377308,0.9501845017573631,0.06475087644712232
Mango mousse,124.98,9.14,3.21,8.47,8.89,0.88,23.66,51.38,2,Healthy,0.025684109457307695,0.9726477023005856,0.06777084333439133
Orange and pineapple cream,101.18,11.96,1.44,5.43,11.37,1.03,15.43,35.0,3,Moderate,0.014232061672126584,0.9506688962415827,0.05366673255531066
Charlotte rousse,188.29,34.08,3.95,4.78,20.48,1.01,47.04,34.95,4,Moderate,0.02097827818779023,0.6009389671185171,0.025386372085477796
Triffle pudding,116.97,18.24,2.93,3.93,13.89,0.12,36.95,48.72,4,Moderate,0.02504915790352185,0.7615131578529873,0.03359835855318801
Snow flakes pudding,95.21,8.07,4.67,4.97,8.01,0.03,57.55,101.33,1,Healthy,0.04904946959301492,0.9925650556390873,0.052200399117191466
Kulfi,98.43,11.3,3.21,4.7,10.39,0.12,0.0,111.86,2,Healthy,0.03261200853365222,0.9194690264673037,0.04774966981562786
Steamed orange pudding,278.03,41.53,2.34,12.04,26.53,0.58,31.86,21.15,12,Unhealthy,0.008416357946953867,0.6388153142152947,0.04330467935099341
Meringue and rice pudding,112.93,14.6,4.84,4.05,10.87,0.17,40.85,85.43,1,Healthy,0.04285840786289862,0.7445205478942108,0.03586292393486351
Cheese pudding,285.01,19.27,11.29,18.37,18.63,0.05,99.76,226.11,13,Unhealthy,0.039612645170205914,0.9667877529337422,0.06445387881104364
Chocolate pudding,211.96,29.59,3.55,9.48,20.68,0.53,46.25,64.56,7,Moderate,0.016748443102393148,0.6988847583406933,0.04472541989033438
Bread and butter pudding ,167.94,19.63,5.59,7.88,11.84,0.98,55.29,105.54,2,Healthy,0.03328569727263734,0.6031584309422742,0.04692151959005049
Queen of pudding,132.92,16.35,5.51,5.38,11.77,0.27,60.59,78.26,1,Healthy,0.041453505867879534,0.7198776757969493,0.04047547396900034
Pineapple upside down pudding,257.73,35.73,3.15,11.91,22.16,0.8,62.13,26.05,9,Moderate,0.012222092887858525,0.6202071088547383,0.04621115120456985
Date and nut pie,322.42,46.86,3.93,13.31,31.18,4.13,18.85,34.69,10,Moderate,0.01218907015690035,0.6653862569213533,0.04128155821586353
Stewed apple with custard,92.87,18.36,1.27,1.82,15.46,1.01,0.0,49.24,3,Moderate,0.01367502961113734,0.8420479302373612,0.019597286529346426
Apple snowballs,101.51,24.58,0.86,0.31,19.4,1.25,0.0,9.43,4,Moderate,0.008472071716988749,0.7892595605862791,0.0030538863165889673
Hot orange souffle,179.97,18.77,6.87,8.95,14.93,0.29,160.48,53.81,3,Moderate,0.038173028837927586,0.7954182205223539,0.04973051064038601
Hot chocolate souffle,226.09,26.21,6.7,11.1,22.88,0.12,138.51,60.19,6,Moderate,0.029634216462339626,0.8729492559758508,0.049095492945070124
Hot vanilla souffle,192.93,21.77,6.87,9.07,18.17,0.13,153.55,63.2,5,Moderate,0.03560877002003002,0.8346348185193094,0.04701186958976307
Plain burfi (Burfi),408.32,30.88,9.82,27.96,30.43,0.17,38.12,355.78,20,Unhealthy,0.024049764890223233,0.9854274611079848,0.0684757053289859
Coconut burfi (Nariyal ki burfi),467.64,32.15,8.81,34.63,31.5,3.5,29.26,272.81,18,Unhealthy,0.01883927807711308,0.9797822705760567,0.07405269010334008
Bottle gourd burfi (Ghiya/Lauki burfi),275.96,24.51,5.86,17.68,23.92,0.73,26.43,215.85,13,Unhealthy,0.021234961588559087,0.9759281925346418,0.0640672561238438
Chocolate burfi,339.33,33.15,13.0,17.86,32.38,0.0,3.78,466.48,16,Unhealthy,0.03831078890744022,0.9767722473310176,0.05263312999129864
Cashewnut burfi (Kaju burfi/Kaju katli),421.74,37.92,5.48,28.46,31.43,1.12,38.62,12.95,19,Unhealthy,0.012993787641644156,0.8288502109486063,0.06748233508780889
Gram flour burfi (Besan burfi),421.79,46.59,11.19,22.41,28.44,3.41,40.13,160.71,15,Unhealthy,0.026529789705714856,0.610431423039055,0.053130704853
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),428.71,52.86,6.71,21.86,33.28,4.68,27.87,106.42,15,Unhealthy,0.015651605980696388,0.6295875898480972,0.0509901798417322
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),464.43,50.9,5.68,27.03,27.32,6.69,33.81,26.72,15,Unhealthy,0.012230045432008634,0.5367387033293373,0.05820037465267489
Gram flour ladoo (Besan ladoo),476.91,62.61,8.93,22.76,37.76,4.43,52.34,25.35,16,Unhealthy,0.018724706967732433,0.6030985465484252,0.04772388920331357
Sesame ladoo (Til ke ladoo),396.96,43.5,10.7,19.64,38.63,7.72,0.0,631.82,13,Unhealthy,0.026954856912467365,0.8880459769910796,0.049476017734659726
Chenna murki,252.69,36.01,10.46,8.2,35.55,0.0,0.0,266.85,12,Unhealthy,0.041394594166601795,0.9872257705918571,0.032450829078980364
Milk cake,127.41,9.13,3.01,8.93,8.9,0.06,11.56,104.94,3,Moderate,0.023624519268317833,0.9748083240991448,0.0700886900551755
Ghujia/Lavang latika,768.98,13.0,1.86,78.93,6.08,0.52,4.62,31.01,20,Unhealthy,0.002418788525056024,0.46769230765633135,0.10264246144229676
Gulab Jamun with khoya,586.06,26.09,2.03,53.23,24.12,0.07,0.0,67.32,22,Unhealthy,0.003463809166291056,0.9244921425479306,0.09082687779392755
Mal pua,566.68,17.56,1.71,54.64,11.77,0.62,0.0,30.05,19,Unhealthy,0.0030175760570286276,0.6702733484811917,0.09642126067604924
Shahi tukre,189.81,41.46,2.76,2.54,34.7,0.51,0.0,76.47,8,Moderate,0.014540856646043196,0.8369512783203824,0.013381802855416566
Potato pakora/pakoda (Aloo pakoda),677.19,6.04,1.9,71.84,0.22,1.03,0.0,6.59,17,Unhealthy,0.002805711838623125,0.036423841053572215,0.10608544130878175
Onion pakora/pakoda (Pyaaz ke pakode),674.61,5.41,1.9,71.84,0.88,1.11,0.0,7.95,17,Unhealthy,0.0028164420924640656,0.1626617374930385,0.10649115785400974
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),671.63,4.52,1.98,71.86,0.23,1.26,0.0,8.44,17,Unhealthy,0.0029480517546819707,0.05088495574095466,0.10699343388456889
