Food Items,Energy kcal,Carbs,Protein(g),Fat(g),Freesugar(g),Fibre(g),Cholestrol(mg),Calcium(mg),Nutrition_Score,Nutrition_Label
Waldroff salad,141.75,11.02,1.47,10.05,8.23,1.87,9.87,29.29,4,Moderate
Coleslaw,76.71,5.59,1.24,5.32,3.62,2.34,6.42,37.0,-1,Healthy
Fruit salad (Phalon ka salaad),78.14,15.96,0.91,1.22,9.78,1.58,2.71,25.93,1,Healthy
Tomato onion raita (Tamatar aur pyaaz ka raita),59.0,7.08,3.74,1.84,5.98,0.97,6.19,120.62,-2,Healthy
Peanut raita (Mungfali ka raita),150.39,9.3,8.59,8.98,7.11,1.89,8.97,174.6,-2,Healthy
Sprouted moong raita ,60.89,6.13,4.62,2.19,5.59,0.16,7.21,139.44,-1,Healthy
Bottle gourd raita (Ghiya/Lauki ka raita),56.31,5.76,3.98,2.07,5.25,0.85,7.21,138.26,-1,Healthy
Cucumber raita (Kheere ka raita),59.13,6.35,4.04,2.08,5.22,0.86,7.21,138.58,-1,Healthy
Carrot and spinach raita (Gajar aur palak ka raita),56.83,5.83,4.0,1.99,4.93,1.39,6.19,142.57,-2,Healthy
Mint raita (Pudinay ka raita),77.59,7.65,5.64,2.96,7.48,0.34,10.51,198.22,-2,Healthy
Potato raita (Aloo ka raita),75.38,10.24,4.22,2.04,5.08,0.75,6.98,132.31,-1,Healthy
Boondi raita,687.72,3.96,2.19,73.83,1.88,0.46,2.51,49.0,18,Unhealthy
Sweet raita (Meetha raita),99.24,17.93,3.24,1.78,15.36,1.02,5.73,108.91,1,Healthy
Dahi vadas/Dahi bhalla,667.73,5.49,2.96,70.4,1.78,0.97,2.39,49.03,17,Unhealthy
Gunjia,667.34,5.68,2.98,70.28,2.05,1.13,2.36,48.16,17,Unhealthy
Saunth/Sonth chutney with tamarind/imli,141.53,33.55,1.01,0.15,31.31,0.93,0.0,54.74,6,Moderate
Rice kheer (Chawal ki kheer),75.03,10.05,2.3,2.97,8.02,0.17,0.0,75.57,0,Healthy
Makhana kheer,107.85,12.88,3.31,5.0,11.54,0.11,1.77,111.64,2,Healthy
Vermicelli kheer (Semiya/Seviyan ki kheer),120.07,15.87,3.35,5.0,12.79,0.5,2.12,104.8,2,Healthy
Semolina kheer (Suji/Rava kheer),113.21,15.88,3.43,4.2,12.88,0.51,0.0,105.99,2,Healthy
Paneer kheer,105.31,10.03,4.53,5.37,9.87,0.07,0.0,144.66,2,Healthy
Cabbage kheer (Pattagobhi ki kheer),83.51,9.73,2.87,3.8,9.28,0.51,0.0,102.74,3,Moderate
Carrot kheer (Gajar ki kheer),85.35,10.09,2.81,3.85,9.63,0.73,0.0,100.12,3,Moderate
Cauliflower kheer (Phoolgobhi ki kheer),81.95,8.78,3.04,3.95,8.49,0.55,0.0,101.75,2,Healthy
Moong dal kheer,77.16,9.89,2.95,2.97,7.92,0.4,0.0,75.66,0,Healthy
Phirni,116.12,16.11,3.49,4.34,10.79,0.36,0.0,104.57,2,Healthy
Semolina halwa (Suji ka halwa),225.65,24.67,2.16,13.38,13.98,1.86,30.82,11.77,7,Moderate
Shahi suji halwa,382.34,44.44,3.48,21.73,27.21,2.96,50.05,18.64,14,Unhealthy
Carrot halwa (Gajar ka halwa),172.64,18.53,3.11,9.73,16.85,2.65,14.66,106.94,5,Moderate
Egg halwa (Ande ka halwa),299.74,39.59,7.85,13.41,37.85,0.49,204.93,35.77,15,Unhealthy
Potato halwa (Aloo ka halwa),151.66,29.18,1.53,3.48,17.42,1.64,6.23,14.15,4,Moderate
Pumpkin halwa (Kaddu ka halwa),190.27,27.6,1.33,8.81,26.64,2.97,9.52,24.34,6,Moderate
Moong dal halwa,349.8,40.23,8.35,17.68,25.59,2.65,34.81,110.4,12,Unhealthy
Caramel custard (steamed),121.58,15.02,4.97,4.87,14.98,0.0,78.88,88.12,2,Healthy
Baked custard,106.53,9.45,5.41,5.3,9.42,0.0,85.92,95.32,1,Healthy
Soft Custard (stirred),109.18,11.19,5.01,5.07,11.15,0.0,73.35,95.82,1,Healthy
Chocolate ice cream,177.7,15.41,4.47,11.25,15.33,0.0,68.26,84.24,6,Moderate
Mango ice cream,125.69,11.14,3.4,7.62,11.01,0.52,55.21,67.17,3,Moderate
Fruit Ice cream (Phalon ka Ice cream),171.46,16.05,4.37,10.38,14.03,0.33,17.12,93.35,6,Moderate
Caramel ice cream,173.52,14.81,4.31,11.15,14.52,0.08,54.79,87.32,6,Moderate
Lemon souffle,168.51,13.43,6.95,10.02,11.67,0.0,100.42,59.81,3,Moderate
Orange souffle,168.28,14.2,6.8,9.73,12.31,0.22,97.54,59.04,3,Moderate
Vanilla souffle,187.85,14.78,7.71,11.19,12.86,0.0,109.43,70.6,3,Moderate
Chocolate souffle,189.32,14.74,7.88,11.36,12.69,0.0,108.18,71.55,3,Moderate
Pineapple souffle ,196.14,15.52,8.06,11.72,13.45,0.0,117.82,67.23,2,Healthy
Apple mousse,106.92,12.77,4.21,4.27,10.56,1.6,57.67,33.76,1,Healthy
Rich chocolate mousse,188.26,10.84,7.96,12.19,10.3,0.0,111.71,54.59,4,Moderate
Mango mousse,124.98,9.14,3.21,8.47,8.89,0.88,23.66,51.38,2,Healthy
Orange and pineapple cream,101.18,11.96,1.44,5.43,11.37,1.03,15.43,35.0,3,Moderate
Charlotte rousse,188.29,34.08,3.95,4.78,20.48,1.01,47.04,34.95,4,Moderate
Triffle pudding,116.97,18.24,2.93,3.93,13.89,0.12,36.95,48.72,4,Moderate
Snow flakes pudding,95.21,8.07,4.67,4.97,8.01,0.03,57.55,101.33,1,Healthy
Kulfi,98.43,11.3,3.21,4.7,10.39,0.12,0.0,111.86,2,Healthy
Steamed orange pudding,278.03,41.53,2.34,12.04,26.53,0.58,31.86,21.15,12,Unhealthy
Meringue and rice pudding,112.93,14.6,4.84,4.05,10.87,0.17,40.85,85.43,1,Healthy
Cheese pudding,285.01,19.27,11.29,18.37,18.63,0.05,99.76,226.11,13,Unhealthy
Chocolate pudding,211.96,29.59,3.55,9.48,20.68,0.53,46.25,64.56,7,Moderate
Bread and butter pudding ,167.94,19.63,5.59,7.88,11.84,0.98,55.29,105.54,2,Healthy
Queen of pudding,132.92,16.35,5.51,5.38,11.77,0.27,60.59,78.26,1,Healthy
Pineapple upside down pudding,257.73,35.73,3.15,11.91,22.16,0.8,62.13,26.05,9,Moderate
Date and nut pie,322.42,46.86,3.93,13.31,31.18,4.13,18.85,34.69,10,Moderate
Stewed apple with custard,92.87,18.36,1.27,1.82,15.46,1.01,0.0,49.24,3,Moderate
Apple snowballs,101.51,24.58,0.86,0.31,19.4,1.25,0.0,9.43,4,Moderate
Hot orange souffle,179.97,18.77,6.87,8.95,14.93,0.29,160.48,53.81,3,Moderate
Hot chocolate souffle,226.09,26.21,6.7,11.1,22.88,0.12,138.51,60.19,6,Moderate
Hot vanilla souffle,192.93,21.77,6.87,9.07,18.17,0.13,153.55,63.2,5,Moderate
Plain burfi (Burfi),408.32,30.88,9.82,27.96,30.43,0.17,38.12,355.78,20,Unhealthy
Coconut burfi (Nariyal ki burfi),467.64,32.15,8.81,34.63,31.5,3.5,29.26,272.81,18,Unhealthy
Bottle gourd burfi (Ghiya/Lauki burfi),275.96,24.51,5.86,17.68,23.92,0.73,26.43,215.85,13,Unhealthy
Chocolate burfi,339.33,33.15,13.0,17.86,32.38,0.0,3.78,466.48,16,Unhealthy
Cashewnut burfi (Kaju burfi/Kaju katli),421.74,37.92,5.48,28.46,31.43,1.12,38.62,12.95,19,Unhealthy
Gram flour burfi (Besan burfi),421.79,46.59,11.19,22.41,28.44,3.41,40.13,160.71,15,Unhealthy
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),428.71,52.86,6.71,21.86,33.28,4.68,27.87,106.42,15,Unhealthy
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),464.43,50.9,5.68,27.03,27.32,6.69,33.81,26.72,15,Unhealthy
Gram flour ladoo (Besan ladoo),476.91,62.61,8.93,22.76,37.76,4.43,52.34,25.35,16,Unhealthy
Sesame ladoo (Til ke ladoo),396.96,43.5,10.7,19.64,38.63,7.72,0.0,631.82,13,Unhealthy
Chenna murki,252.69,36.01,10.46,8.2,35.55,0.0,0.0,266.85,12,Unhealthy
Milk cake,127.41,9.13,3.01,8.93,8.9,0.06,11.56,104.94,3,Moderate
Ghujia/Lavang latika,768.98,13.0,1.86,78.93,6.08,0.52,4.62,31.01,20,Unhealthy
Gulab Jamun with khoya,586.06,26.09,2.03,53.23,24.12,0.07,0.0,67.32,22,Unhealthy
Mal pua,566.68,17.56,1.71,54.64,11.77,0.62,0.0,30.05,19,Unhealthy
Shahi tukre,189.81,41.46,2.76,2.54,34.7,0.51,0.0,76.47,8,Moderate
Potato pakora/pakoda (Aloo pakoda),677.19,6.04,1.9,71.84,0.22,1.03,0.0,6.59,17,Unhealthy
Onion pakora/pakoda (Pyaaz ke pakode),674.61,5.41,1.9,71.84,0.88,1.11,0.0,7.95,17,Unhealthy
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),671.63,4.52,1.98,71.86,0.23,1.26,0.0,8.44,17,Unhealthy
Mixed vegetable pakora/pakoda,673.81,5.12,1.94,71.86,0.38,1.13,0.0,9.55,17,Unhealthy
Spinach pakora/pakoda (Palak pakoda),712.62,4.68,1.96,76.38,0.2,1.02,0.0,10.99,17,Unhealthy
Methi pakora/pakoda (Methi ke pakode),713.25,4.68,2.06,76.39,0.25,1.18,0.0,23.07,17,Unhealthy
Egg pakora/pakoda (Ande ke pakode),710.51,4.48,2.83,75.86,0.19,0.86,28.39,9.55,18,Unhealthy
Bread pakora/pakoda,710.99,8.87,2.57,74.2,0.46,1.11,0.0,19.83,17,Unhealthy
Paneer pakora/pakoda,718.12,5.52,3.27,76.05,1.08,0.89,0.0,43.38,18,Unhealthy
Potato bonda (Aloo bonda),632.84,4.53,1.09,67.8,0.27,0.83,0.0,6.79,17,Unhealthy
Potato samosa (Aloo ka samosa),577.39,9.21,1.71,59.19,0.29,1.19,2.33,7.63,16,Unhealthy
Minced meat samosa (Keema ka samosa),620.99,6.14,4.43,64.26,0.5,0.39,16.71,6.7,17,Unhealthy
Paneer and pea samosa (Paneer matar ka samosa),623.81,8.55,4.02,63.65,1.69,1.02,0.0,64.56,16,Unhealthy
Mathri,805.12,12.32,1.75,83.1,0.29,0.6,0.0,5.23,20,Unhealthy
Khasta kachori,712.73,12.81,2.51,72.27,0.34,0.97,0.0,7.84,17,Unhealthy
Vegetable cutlet,665.45,4.68,1.25,71.33,0.35,0.93,6.77,13.55,17,Unhealthy
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),701.71,7.39,1.76,73.89,0.27,0.86,6.9,9.17,18,Unhealthy
Peanut cutlet (Mungfali ke cutlet),698.77,5.68,2.63,74.0,0.51,1.21,6.75,14.38,17,Unhealthy
Fish cutlet (Machli ka cutlet),654.64,3.13,2.77,70.11,0.29,0.54,11.02,10.44,18,Unhealthy
Paneer potato cutlet (Paneer aloo cutlet),672.94,5.23,2.47,71.4,1.02,0.41,13.33,45.36,18,Unhealthy
Spinach chickpeas cutlet (Palak channa dal cutlet),688.03,4.93,1.44,73.6,0.16,0.93,6.98,11.3,17,Unhealthy
Cheese toast,785.37,5.49,1.98,84.11,0.53,0.31,11.55,43.87,19,Unhealthy
Vegetable burger,519.93,13.69,3.26,50.63,1.88,1.7,7.4,26.08,15,Unhealthy
Cheese pizza,249.5,30.62,5.79,12.43,3.42,1.95,10.64,96.51,2,Healthy
Vegetable seekh kebab,690.73,5.32,1.57,73.72,0.74,0.59,0.0,32.66,18,Unhealthy
Masala vada,826.02,4.06,1.69,89.15,0.24,1.07,0.0,7.45,19,Unhealthy
Peanut sago vada (Sabudana mungfali vada),749.89,7.14,1.01,79.82,0.19,0.62,0.0,5.03,19,Unhealthy
Vegeterian scotch egg,681.67,4.64,2.16,72.77,0.23,0.58,34.24,15.2,18,Unhealthy
Paneer shaslik/tikka,93.85,7.98,5.11,4.49,4.61,1.23,0.0,123.86,-1,Healthy
Peanut brittle (Moongfali ki chikki),320.46,47.46,6.94,11.13,43.92,2.63,2.5,68.03,14,Unhealthy
Spring roll,623.87,8.56,1.81,64.63,0.6,0.67,12.15,9.51,17,Unhealthy
Dry mango chutney (Sookhe aam ki chutney),298.13,69.17,2.43,0.7,61.86,3.74,0.0,72.05,9,Moderate
Peanut chutney (Mungfali ki chutney),258.37,9.87,11.8,19.06,2.76,5.73,0.0,34.79,-1,Healthy
Coconut chutney (Nariyal ki chutney),265.92,8.29,3.59,25.0,3.79,6.73,0.0,15.7,6,Moderate
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),102.6,21.18,2.81,0.51,15.88,4.33,0.0,107.45,-1,Healthy
Custard tart,225.6,28.66,3.72,10.73,9.31,0.91,22.28,57.47,4,Moderate
Lemon tart,303.35,30.68,6.12,17.45,10.68,0.81,123.17,24.03,7,Moderate
Jam tart,360.72,46.18,4.42,17.35,14.74,1.14,44.15,12.23,11,Unhealthy
Orange cream tart,197.16,27.43,2.58,8.72,10.08,0.64,22.13,13.84,5,Moderate
Pineapple tart,195.4,28.62,2.29,8.21,11.09,0.87,20.7,12.02,5,Moderate
Cheese and mushroom tart,246.1,21.43,5.51,15.28,3.16,1.18,37.99,100.97,4,Moderate
Cottage cheese pie,238.98,20.66,7.45,13.83,3.62,2.21,20.86,108.05,0,Healthy
Minced meat pie,221.55,18.11,7.38,13.04,1.42,2.33,34.57,18.14,0,Healthy
Apple cinnamon pie,258.73,33.68,3.35,12.21,11.95,1.77,36.52,16.14,6,Moderate
Lemon meringue pie,224.43,35.11,3.88,8.16,21.17,0.44,75.3,16.79,6,Moderate
Chocolate meringue pie,214.76,28.8,4.98,9.17,15.03,0.37,64.11,55.98,5,Moderate
Cream puffs,221.33,16.0,4.7,15.48,5.94,0.38,100.48,37.93,6,Moderate
Chocolate eclairs,239.42,26.22,4.24,13.5,17.34,0.33,85.94,34.21,7,Moderate
Cheese balls,681.28,4.81,2.21,72.57,0.63,0.18,37.78,30.01,18,Unhealthy
Minced meat patties,265.72,15.25,6.88,19.57,0.88,0.77,81.36,19.23,5,Moderate
Cheese patties,324.01,22.23,7.38,22.67,3.93,1.24,0.0,126.41,10,Moderate
Hot cheese souffle,177.1,5.41,9.18,13.23,2.91,0.12,149.14,169.17,1,Healthy
Hot potato souffle,125.64,8.56,5.51,7.64,1.78,0.66,109.09,56.84,0,Healthy
Hot fish souffle,142.92,3.69,11.23,9.24,1.68,0.1,122.69,58.18,-1,Healthy
Hot spinach souffle,104.25,4.19,5.43,7.24,1.64,0.99,100.84,80.77,-1,Healthy
Plain cream cake,353.94,47.18,6.18,16.17,27.74,0.71,120.92,41.95,15,Unhealthy
Apple cake (Seb ka cake),290.08,39.48,4.94,12.87,23.52,1.22,94.69,38.99,11,Unhealthy
Marble cake,354.11,46.88,6.3,16.27,27.56,0.71,120.14,39.6,15,Unhealthy
Chocolate cake,335.61,45.14,6.01,15.18,27.58,0.64,109.36,41.13,15,Unhealthy
Orange cake,357.61,48.28,6.1,16.21,28.38,0.83,123.67,29.72,15,Unhealthy
Fruit Loaf ,324.19,46.49,5.36,13.31,24.54,0.87,90.0,45.71,13,Unhealthy
Banana cake (Kele ka cake),389.51,40.0,5.77,23.31,23.04,1.14,68.99,23.55,15,Unhealthy
Chocolate chiffon cake,311.71,37.87,5.76,15.8,24.25,0.7,93.35,42.15,13,Unhealthy
Christmas cake,372.95,48.29,5.49,16.88,27.45,1.49,97.81,40.98,14,Unhealthy
Strawberry and vanilla cake with butter icing,370.54,44.25,3.89,20.39,32.43,0.79,101.12,28.17,17,Unhealthy
Eggless cake,318.08,46.14,8.12,11.75,27.7,0.68,27.68,212.97,12,Unhealthy
Swiss roll,251.87,48.34,7.3,3.77,32.96,0.55,144.66,24.11,11,Unhealthy
Pineapple pastry ,208.21,29.04,6.06,7.87,18.83,0.72,115.34,42.97,5,Moderate
Black forest pastry,233.55,34.48,6.09,8.46,21.35,0.54,113.03,44.15,5,Moderate
Coconut finger,274.86,42.56,7.09,8.86,28.55,1.87,127.97,24.04,10,Moderate
Pineapple cake ,195.57,23.51,5.01,9.34,16.16,0.76,92.79,49.06,5,Moderate
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),424.8,47.1,6.56,23.62,22.58,1.54,69.03,36.1,16,Unhealthy
Chocolate chip cookies,425.29,57.98,5.79,19.38,30.29,1.05,75.98,24.76,16,Unhealthy
Sweet plain biscuit,380.76,50.29,5.86,17.67,21.77,1.07,76.89,42.88,12,Unhealthy
Chocolate biscuit,379.76,51.56,5.88,17.09,24.16,1.01,72.66,41.51,13,Unhealthy
Coconut biscuit (Nariyal ke biscuit),434.98,42.9,5.78,27.16,20.76,3.64,64.98,37.81,15,Unhealthy
Sweet and salty biscuit (Meethay aur namkeen biscuit),407.96,45.09,6.15,22.39,7.22,1.68,55.18,37.24,12,Unhealthy
Peanut biscuit,401.05,46.72,8.45,20.41,21.26,2.48,61.88,50.58,13,Unhealthy
Pin wheel biscuit,404.6,54.56,5.4,18.66,23.25,1.16,44.65,42.7,15,Unhealthy
Saffron biscuit (Kesar biscuit),458.61,59.7,6.05,22.01,22.42,1.9,49.64,25.71,15,Unhealthy
Masala biscuit,393.64,45.18,6.06,20.75,6.82,2.14,51.29,53.73,9,Moderate
Ice box cookies,374.24,56.09,5.7,14.44,26.69,1.28,70.82,18.5,12,Unhealthy
Ginger bread man,365.0,60.26,6.61,11.01,29.12,1.6,75.31,37.92,12,Unhealthy
Danish cookies,475.33,58.0,5.33,24.92,21.73,1.37,63.58,15.97,16,Unhealthy
Short bread cookies,443.09,64.82,6.03,17.98,23.31,1.57,45.48,15.92,14,Unhealthy
Coffee biscuit,416.57,46.55,6.9,23.0,21.69,1.59,63.97,48.92,15,Unhealthy
Melting moments,437.91,55.84,5.71,21.78,25.0,1.88,80.33,30.39,16,Unhealthy
Ginger biscuit (Adarak ke biscuit),417.91,58.44,5.98,18.31,27.06,1.49,81.73,25.97,16,Unhealthy
Soyabean muthias,839.33,3.7,2.46,90.45,0.17,1.47,0.0,12.16,19,Unhealthy
Soyabean tikki,698.17,4.39,3.53,74.02,0.35,2.2,0.0,29.23,16,Unhealthy
Soyabean namak paras,838.46,4.65,2.65,89.83,0.22,1.41,0.0,12.13,19,Unhealthy
Peanut burfi (Moongfali ki burfi),550.99,48.14,9.31,36.84,43.08,4.09,0.0,25.2,21,Unhealthy
Spinach peanut namak paras (Palak moongfali namak paras),740.16,6.62,1.65,78.51,0.28,0.81,0.0,13.35,19,Unhealthy
Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),758.89,7.63,2.08,80.04,0.25,1.39,0.0,12.13,18,Unhealthy
Rice moong dal cheela (Chawal aur moong dal ka cheela),798.26,11.13,2.74,82.44,0.15,1.18,0.0,4.99,18,Unhealthy
Split bengal gram sweet rice (Channa dal sweet rice),190.21,41.07,4.15,0.64,19.41,2.23,0.0,30.37,2,Healthy
Sweet poori (Meethi poori),782.75,14.26,2.12,79.63,7.15,1.54,0.0,34.24,19,Unhealthy
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),441.08,60.0,9.84,18.41,31.12,6.02,35.14,25.2,12,Unhealthy
Spinach burfi (Palak burfi),121.17,12.76,2.71,6.81,12.12,1.17,5.65,93.68,3,Moderate
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),366.59,62.66,9.51,7.93,24.73,8.16,15.56,53.3,6,Moderate
Sprouted moong daliya ,111.56,14.77,2.81,4.71,1.67,3.12,0.0,22.62,-2,Healthy
Sprouted moong poha ,192.6,26.6,5.59,6.89,1.93,3.13,0.0,28.39,-2,Healthy
Pearl millet ladoo (Bajra ladoo),319.66,50.98,9.61,8.06,27.44,6.0,0.0,118.74,6,Moderate
Paushtik ladoo,485.87,60.34,7.65,24.98,38.12,4.57,52.71,20.67,18,Unhealthy
Paushtik roti,149.26,26.59,7.17,1.51,2.03,5.74,0.0,52.74,-8,Healthy
Semolina carrot vada (Suji gajar vada),699.53,6.52,1.56,74.07,1.21,1.07,1.18,26.47,17,Unhealthy
Dhokla,216.49,30.68,13.45,5.28,4.78,4.95,5.16,123.21,-6,Healthy
Kashmiri tea (Kehwa),24.9,5.23,0.17,0.51,5.14,0.16,0.0,3.19,1,Healthy
Steeped hot coffee,15.91,3.01,0.39,0.33,2.96,0.0,0.0,10.4,0,Healthy
Hot chocolate,90.01,9.02,3.43,4.61,8.86,0.0,0.02,113.63,1,Healthy
Cold coffee (with cream),82.76,11.98,1.93,3.29,11.91,0.0,3.29,64.43,3,Moderate
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),76.45,11.15,2.01,2.77,9.94,0.27,1.3,68.3,1,Healthy
Flavoured milkshake,66.78,8.65,2.06,2.83,8.61,0.0,0.0,75.05,0,Healthy
Jal jeera,30.24,6.7,0.44,0.26,5.71,0.95,0.0,24.72,0,Healthy
Gingo,48.02,12.42,0.14,0.06,12.08,0.17,0.0,6.33,2,Healthy
Mintade,40.32,10.59,0.03,0.02,10.47,0.03,0.0,2.1,2,Healthy
Canjee,6.61,0.44,0.24,0.42,0.21,0.36,0.0,5.82,0,Healthy
Cauliflower canjee (Phoolgobhi ki canjee),6.9,0.35,0.39,0.42,0.09,0.49,0.0,6.26,0,Healthy
Potato canjee (Aloo canjee),16.26,2.69,0.44,0.39,0.1,0.43,0.0,5.21,0,Healthy
Vermicelli porridge (Semiya/Seviyan porridge),78.4,10.56,2.5,2.98,7.04,0.48,0.62,72.96,0,Healthy
Semolina upma (Suji/Rava upma),147.89,16.31,3.3,7.49,1.31,3.24,0.0,21.57,-2,Healthy
Vermicelli upma (Semiya/Seviyan upma),149.11,16.88,3.11,7.45,1.4,3.21,0.0,20.3,-1,Healthy
Rice upma,151.27,17.96,2.63,7.46,1.13,2.12,0.0,17.57,0,Healthy
Bread upma,129.51,12.6,2.8,7.75,1.56,1.96,0.0,45.22,0,Healthy
Vegetable upma,146.47,16.46,4.73,6.63,1.39,4.19,0.0,26.68,-3,Healthy
Poha,294.53,35.05,6.09,14.14,0.87,3.72,0.0,37.67,0,Healthy
Vegetable poha,180.52,21.52,4.89,8.07,1.4,3.76,0.0,28.01,-3,Healthy
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),154.89,19.42,6.97,5.11,1.11,4.25,0.0,39.34,-6,Healthy
Paneer stuffed cheela/chilla,205.19,19.16,11.44,8.89,3.81,4.03,0.0,151.3,-5,Healthy
Indian style egg bhujia (Anda bhujia (Indian style)),102.83,3.76,6.1,7.02,1.95,1.53,145.28,31.9,-1,Healthy
French omelette/omlet,211.04,0.41,10.03,18.86,0.1,0.38,300.44,46.35,3,Moderate
Puffy omelette/omlet,188.15,0.08,8.82,16.84,0.08,0.0,268.82,34.96,2,Healthy
Orange omelette/omlet,194.66,1.68,8.93,16.84,1.68,0.0,268.82,37.33,2,Healthy
Cheese and mushroom omelette/omlet,205.63,1.68,9.69,17.82,1.07,0.93,184.53,148.77,1,Healthy
Spanish omelette/omlet,157.45,5.1,8.25,11.44,1.03,2.54,145.23,31.72,-3,Healthy
Mixed stock,25.19,0.33,2.06,1.71,0.2,0.15,10.55,2.06,-1,Healthy
Meat stock,24.48,0.0,2.1,1.78,0.0,0.0,11.03,0.86,-1,Healthy
White stock,6.99,0.4,0.07,0.56,0.24,0.17,1.39,1.58,0,Healthy
Meat consomme (with mutton),29.76,0.51,14.86,13.68,0.24,0.71,0.0,115.88,-1,Healthy
Consomme au julienne,27.76,1.49,12.49,10.66,0.83,1.38,6.4,85.89,-3,Healthy
Consomme au vermicelli,29.94,1.3,15.23,12.98,0.27,0.81,7.85,97.34,-1,Healthy
Green pea soup (Matar ka soup),39.81,3.63,11.06,12.9,0.87,2.49,4.16,46.63,-3,Healthy
Spinach soup (Palak ka soup),32.59,3.03,10.54,14.26,0.29,1.98,4.24,56.23,-3,Healthy
Mixed vegetable soup,35.71,2.95,8.22,11.66,1.64,1.64,3.87,50.69,-3,Healthy
Cheese soup,41.13,1.87,12.39,17.07,0.84,1.8,9.56,83.65,-1,Healthy
Mulligatawny soup,54.42,8.24,11.26,13.28,1.26,2.6,3.05,43.89,-3,Healthy
Cream of carrot soup,59.77,5.69,8.27,12.35,1.77,1.98,6.67,57.24,-3,Healthy
Cream of broccoli soup,56.14,3.72,8.97,12.75,1.59,1.89,7.67,66.55,-2,Healthy
Cream of potato soup,60.2,6.14,8.1,12.05,1.24,1.51,6.53,51.97,-2,Healthy
Almond soup (Badam ka soup),78.65,3.68,10.13,13.8,1.94,0.91,28.18,114.95,-2,Healthy
Cold cucumber cream soup ,11.88,1.76,0.34,0.34,0.51,0.73,0.72,8.02,0,Healthy
Cold tomato soup,16.9,0.59,0.11,1.56,0.22,0.16,3.88,4.2,0,Healthy
Chicken stew,127.55,4.44,7.19,8.91,1.43,1.82,32.34,31.53,-2,Healthy
Veg paneer stew,145.55,10.22,6.98,8.41,4.85,3.08,0.0,160.51,-3,Healthy
Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),191.27,26.37,4.37,7.27,2.71,5.16,0.0,24.91,-3,Healthy
Methi parantha/paratha,148.36,22.19,4.27,4.34,2.44,5.09,0.0,65.85,-5,Healthy
Bathua poori,598.79,13.85,2.35,59.14,0.41,1.87,0.6,30.83,16,Unhealthy
Gram flour poori (Besan poori),697.66,10.93,2.59,71.51,0.35,1.94,0.73,7.09,16,Unhealthy
Beetroot poori (Chukandar ki poori),527.66,12.29,1.91,52.18,0.54,1.4,0.53,5.38,15,Unhealthy
Peas poori (Matar ki poori),592.83,14.92,3.04,57.69,0.48,2.25,0.59,8.96,15,Unhealthy
Peas kachori (Matar kachori),584.68,13.25,3.21,57.51,0.5,2.03,0.0,14.25,15,Unhealthy
Pizza,146.77,9.94,6.85,8.72,1.38,1.71,18.65,77.23,-2,Healthy
Bacon and mushroom pancake,157.67,8.47,6.82,10.6,1.23,1.59,39.23,44.74,-1,Healthy
Cheese and tomato pancake,147.39,10.66,5.15,9.28,3.48,1.06,38.27,127.51,0,Healthy
Minced meat pancake (with chicken),116.04,8.18,12.01,10.48,1.29,0.7,33.26,64.72,-1,Healthy
Eggplant/Brinjal rice (Vangi bhat),184.8,31.74,5.28,3.67,4.36,4.44,0.0,36.02,-4,Healthy
Kashmiri 'tahar',98.21,19.11,1.95,1.37,0.17,0.98,3.02,3.93,-1,Healthy
Cumin pulao (Jeera/Zeera pulao),135.24,23.61,2.47,3.2,0.64,1.4,0.0,7.25,0,Healthy
Peas pulao (Matar pulao),108.87,18.42,3.89,1.9,1.3,3.21,0.0,18.18,-4,Healthy
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),116.53,19.72,3.6,2.3,1.59,3.16,0.0,19.09,-4,Healthy
Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),125.51,21.55,3.44,2.58,1.99,2.69,0.0,16.51,-3,Healthy
Mutton pulao,130.77,11.26,6.52,10.78,1.0,1.65,2.35,49.87,-1,Healthy
Chicken pulao,108.24,11.17,6.07,8.48,0.99,1.64,11.55,32.25,-1,Healthy
Mexican rice,120.57,14.21,4.62,4.88,1.44,1.64,11.9,14.51,-1,Healthy
Plain khitchdi (Plain khichri/khichdi),57.03,10.04,1.72,1.01,0.12,0.85,2.14,5.05,-1,Healthy
Instant idli (with semolina),247.29,43.4,9.16,3.61,3.35,7.13,3.12,93.2,-6,Healthy
Plain dosa,380.91,64.08,10.34,8.43,0.7,5.23,19.9,19.35,-4,Healthy
Masala dosa mixed vegetable fillings,144.53,23.02,4.84,3.26,1.53,4.31,5.18,31.79,-5,Healthy
